Open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
111474.234375,111474.234375,111474.234375,111474.234375,0,0.0,0.0,
111405.09375,111405.09375,111405.09375,111405.09375,47980544,0.0,0.0,
111350.0703125,111350.0703125,111350.0703125,111350.0703125,0,0.0,0.0,
111267.6796875,111267.6796875,111267.6796875,111267.6796875,29319168,0.0,0.0,
111301.4375,111301.4375,111301.4375,111301.4375,65994752,0.0,0.0,
111289.34375,111289.34375,111289.34375,111289.34375,0,0.0,0.0,
111314.484375,111314.484375,111314.484375,111314.484375,343597056,0.0,0.0,
111270.8984375,111270.8984375,111270.8984375,111270.8984375,943251456,0.0,0.0,
110608.625,110608.625,110608.625,110608.625,52506624,0.0,0.0,
110837.421875,110837.421875,110837.421875,110837.421875,0,0.0,0.0,
111131.5,111131.5,111131.5,111131.5,697221120,0.0,0.0,
111193.390625,111193.390625,111193.390625,111193.390625,0,0.0,0.0,
111026.078125,111026.078125,111026.078125,111026.078125,1057730560,0.0,0.0,
110985.7890625,110985.7890625,110985.7890625,110985.7890625,0,0.0,0.0,
110942.7578125,110942.7578125,110942.7578125,110942.7578125,364236800,0.0,0.0,
110912.6796875,110912.6796875,110912.6796875,110912.6796875,49893376,0.0,0.0,
110751.5703125,110751.5703125,110751.5703125,110751.5703125,190021632,0.0,0.0,
110821.5390625,110821.5390625,110821.5390625,110821.5390625,65974272,0.0,0.0,
110870.6875,110870.6875,110870.6875,110870.6875,0,0.0,0.0,
110890.2265625,110890.2265625,110890.2265625,110890.2265625,0,0.0,0.0,
110905.0625,110905.0625,110905.0625,110905.0625,4861952,0.0,0.0,
110958.171875,110958.171875,110958.171875,110958.171875,436039680,0.0,0.0,
111055.1015625,111055.1015625,111055.1015625,111055.1015625,903180288,0.0,0.0,
111043.171875,111043.171875,111043.171875,111043.171875,0,0.0,0.0,
111031.3515625,111031.3515625,111031.3515625,111031.3515625,0,0.0,0.0,
111038.2734375,111038.2734375,111038.2734375,111038.2734375,290516992,0.0,0.0,
110845.3203125,110845.3203125,110845.3203125,110845.3203125,1415073792,0.0,0.0,
110738.0625,110738.0625,110738.0625,110738.0625,0,0.0,0.0,
110740.21875,110740.21875,110740.21875,110740.21875,0,0.0,0.0,
110747.0625,110747.0625,110747.0625,110747.0625,317538304,0.0,0.0,
110855.640625,110855.640625,110855.640625,110855.640625,2297589760,0.0,0.0,
110791.6953125,110791.6953125,110791.6953125,110791.6953125,0,0.0,0.0,
110760.0703125,110760.0703125,110760.0703125,110760.0703125,78557184,0.0,0.0,
110853.7109375,110853.7109375,110853.7109375,110853.7109375,1356275712,0.0,0.0,
110858.921875,110858.921875,110858.921875,110858.921875,0,0.0,0.0,
110851.3828125,110851.3828125,110851.3828125,110851.3828125,0,0.0,0.0,
110850.2890625,110850.2890625,110850.2890625,110850.2890625,73404416,0.0,0.0,
110855.8046875,110855.8046875,110855.8046875,110855.8046875,61448192,0.0,0.0,
110851.0,110851.0,110851.0,110851.0,9764864,0.0,0.0,
110827.6640625,110827.6640625,110827.6640625,110827.6640625,0,0.0,0.0,
110764.65625,110764.65625,110764.65625,110764.65625,1469816832,0.0,0.0,
110736.8828125,110736.8828125,110736.8828125,110736.8828125,0,0.0,0.0,
110715.0390625,110715.0390625,110715.0390625,110715.0390625,364077056,0.0,0.0,
